data_hora,lixo1,lixo2,user
20210401000000,-2.289.836.111,-4.309.041.667,187
20210401000500,-2.289.836.111,-4.309.041.667,156
20210401001000,-2.289.836.111,-4.309.041.667,166
20210401001500,-2.289.836.111,-4.309.041.667,162
20210401002000,-2.289.836.111,-4.309.041.667,163
20210401002500,-2.289.836.111,-4.309.041.667,144
20210401003000,-2.289.836.111,-4.309.041.667,151
20210401003500,-2.289.836.111,-4.309.041.667,126
20210401004000,-2.289.836.111,-4.309.041.667,137
20210401004500,-2.289.836.111,-4.309.041.667,157
20210401005000,-2.289.836.111,-4.309.041.667,125
20210401005500,-2.289.836.111,-4.309.041.667,162
,,,
20210401010000,-2.289.836.111,-4.309.041.667,122
20210401010500,-2.289.836.111,-4.309.041.667,127
20210401011000,-2.289.836.111,-4.309.041.667,146
20210401011500,-2.289.836.111,-4.309.041.667,139
20210401012000,-2.289.836.111,-4.309.041.667,99
20210401012500,-2.289.836.111,-4.309.041.667,115
20210401013000,-2.289.836.111,-4.309.041.667,123
20210401013500,-2.289.836.111,-4.309.041.667,117
20210401014000,-2.289.836.111,-4.309.041.667,93
20210401014500,-2.289.836.111,-4.309.041.667,104
20210401015000,-2.289.836.111,-4.309.041.667,105
20210401015500,-2.289.836.111,-4.309.041.667,134
,,,
20210401020000,-2.289.836.111,-4.309.041.667,120
20210401020500,-2.289.836.111,-4.309.041.667,116
20210401021000,-2.289.836.111,-4.309.041.667,116
20210401021500,-2.289.836.111,-4.309.041.667,127
20210401022000,-2.289.836.111,-4.309.041.667,96
20210401022500,-2.289.836.111,-4.309.041.667,126
20210401023000,-2.289.836.111,-4.309.041.667,114
20210401023500,-2.289.836.111,-4.309.041.667,93
20210401024000,-2.289.836.111,-4.309.041.667,93
20210401024500,-2.289.836.111,-4.309.041.667,89
20210401025000,-2.289.836.111,-4.309.041.667,94
20210401025500,-2.289.836.111,-4.309.041.667,136
,,,
20210401030000,-2.289.836.111,-4.309.041.667,105
20210401030500,-2.289.836.111,-4.309.041.667,89
20210401031000,-2.289.836.111,-4.309.041.667,99
20210401031500,-2.289.836.111,-4.309.041.667,116
20210401032000,-2.289.836.111,-4.309.041.667,77
20210401032500,-2.289.836.111,-4.309.041.667,82
20210401033000,-2.289.836.111,-4.309.041.667,97
20210401033500,-2.289.836.111,-4.309.041.667,78
20210401034000,-2.289.836.111,-4.309.041.667,94
20210401034500,-2.289.836.111,-4.309.041.667,96
20210401035000,-2.289.836.111,-4.309.041.667,92
20210401035500,-2.289.836.111,-4.309.041.667,137
,,,
20210401040000,-2.289.836.111,-4.309.041.667,97
20210401040500,-2.289.836.111,-4.309.041.667,87
20210401041000,-2.289.836.111,-4.309.041.667,112
20210401041500,-2.289.836.111,-4.309.041.667,101
20210401042000,-2.289.836.111,-4.309.041.667,96
20210401042500,-2.289.836.111,-4.309.041.667,96
20210401043000,-2.289.836.111,-4.309.041.667,107
20210401043500,-2.289.836.111,-4.309.041.667,98
